Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
168,Jamaal Williams,GNB,RB,25,5,1,0,0,0,0,0,33,142,4.3,0,14,13,119,9.15,0,0,0,0,1,,28,41.1,47.1,34.6,,44,
169,Braxton Berrios,NYJ,WR,25,6,1,0,0,0,0,0,1,13,13,0,20,11,141,12.82,2,0,0,2,,,27,38.4,41.4,32.9,,70,
170,Corey Davis,TEN,WR,25,3,3,0,0,0,0,0,0,0,,0,19,15,206,13.73,1,0,0,1,,,27,41.6,44.6,34.1,,73,
171,Austin Hooper,CLE,TE,26,6,6,0,0,0,0,0,0,0,,0,33,22,205,9.32,1,0,0,1,,,27,48.5,51.5,37.5,,21,
172,O.J. Howard,TAM,TE,26,4,1,0,0,0,0,0,0,0,,0,19,11,146,13.27,2,0,0,2,,,27,37.6,40.6,32.1,,20,
173,Dontrelle Inman,WAS,WR,31,6,2,0,0,0,0,0,0,0,,0,27,17,148,8.71,2,1,0,2,,,27,43.8,46.8,35.3,,71,
174,Josh Reynolds,LAR,WR,25,6,5,0,0,0,0,0,0,0,,0,21,14,226,16.14,1,2,1,1,,,27,40.6,44.6,33.6,,72,
175,Logan Thomas,WAS,TE,29,6,5,0,0,0,0,0,0,0,,0,36,17,148,8.71,2,0,0,2,,,27,43.8,46.8,35.3,,19,
176,Kyle Allen,WAS,QB,24,2,2,40,55,354,2,1,3,15,5,1,0,0,0,,0,1,1,1,,,26,25.7,30.7,26.7,,34,
177,Zach Ertz,PHI,TE,30,6,6,0,0,0,0,0,0,0,,0,45,24,178,7.42,1,0,0,1,1,,26,49.8,52.8,37.8,,22,
178,Andy Isabella,ARI,WR,24,6,0,0,0,0,0,0,1,-6,-6,0,15,10,147,14.7,2,0,0,2,,,26,36.1,39.1,31.1,,74,
179,J.D. McKissic,WAS,RB,27,6,3,0,0,0,0,0,27,116,4.3,0,31,23,167,7.26,0,1,1,0,,,26,49.3,56.3,37.8,,48,
180,Sony Michel,NWE,RB,25,3,3,0,0,0,0,0,26,173,6.65,1,3,2,23,11.5,0,0,0,1,,,26,27.6,30.6,26.6,,49,
181,Evan Engram,NYG,TE,26,6,5,0,0,0,0,0,2,9,4.5,1,35,20,177,8.85,0,0,0,1,,,25,44.6,47.6,34.6,,23,
182,Chris Godwin,TAM,WR,24,3,3,0,0,0,0,0,0,0,,0,20,16,191,11.94,1,0,0,1,,,25,41.1,44.1,33.1,,76,
183,Darnell Mooney,CHI,WR,23,6,1,0,0,0,0,0,1,-3,-3,0,30,18,196,10.89,1,1,0,1,,,25,43.3,46.3,34.3,,75,
184,Henry Ruggs III,LVR,WR,21,3,3,0,0,0,0,0,2,11,5.5,0,11,6,177,29.5,1,0,0,1,,,25,30.8,33.8,27.8,,77,
185,Curtis Samuel,CAR,WR,24,5,2,0,0,0,0,0,15,63,4.2,0,23,19,183,9.63,0,0,0,0,,,25,43.6,46.6,34.1,,78,
186,Anthony Firkser,TEN,TE,25,5,1,0,0,0,0,0,0,0,,0,20,17,182,10.71,1,0,0,1,,,24,41.2,44.2,32.7,,24,
187,T.Y. Hilton,IND,WR,31,6,6,0,0,0,0,0,0,0,,0,37,20,242,12.1,0,0,0,0,,,24,44.2,47.2,34.2,,79,
188,Nick Mullens,SFO,QB,25,3,2,51,73,614,2,3,6,-2,-0.33,0,0,0,0,,0,3,1,0,,,24,24.4,31.4,27.4,,35,
189,Jeff Wilson,SFO,RB,25,5,0,0,0,0,0,0,21,51,2.43,1,5,4,67,16.75,1,0,0,2,,,24,27.8,27.8,25.8,,50,
190,Jordan Akins,HOU,TE,28,4,2,0,0,0,0,0,0,0,,0,15,14,168,12,1,0,0,1,,,23,36.8,39.8,29.8,,25,
191,Trey Burton,IND,TE,29,3,0,0,0,0,0,0,1,1,1,1,16,11,107,9.73,1,0,0,2,,,23,33.8,36.8,28.3,,26,
192,Giovani Bernard,CIN,RB,29,6,0,0,0,0,0,0,12,44,3.67,1,20,16,115,7.19,0,0,0,1,,,22,37.9,40.9,29.9,,51,
193,Damiere Byrd,NWE,WR,27,5,4,0,0,0,0,0,0,0,,0,26,17,217,12.76,0,2,0,0,,,22,38.7,41.7,30.2,,80,
194,A.J. Green,CIN,WR,32,6,5,0,0,0,0,0,0,0,,0,45,22,215,9.77,0,0,0,0,,,22,43.5,46.5,32.5,,81,
195,Danny Amendola,DET,WR,35,5,1,0,0,0,0,0,0,0,,0,23,12,208,17.33,0,0,0,0,,,21,32.8,35.8,26.8,,83,
196,Eric Ebron,PIT,TE,27,5,4,0,0,0,0,0,0,0,,0,24,16,165,10.31,1,1,1,1,,,21,36.5,40.5,28.5,,29,
197,Gerald Everett,LAR,TE,26,6,2,0,0,0,0,0,1,2,2,1,13,11,168,15.27,0,1,1,1,,,21,32,36,26.5,,27,
198,N'Keal Harry,NWE,WR,23,5,5,0,0,0,0,0,1,2,2,0,30,18,166,9.22,1,1,1,1,,,21,38.8,42.8,29.8,,84,
199,Marvin Jones,DET,WR,30,5,5,0,0,0,0,0,0,0,,0,24,14,146,10.43,1,0,0,1,,,21,34.6,37.6,27.6,,85,
200,Jordan Reed,SFO,TE,30,3,0,0,0,0,0,0,0,0,,0,16,11,85,7.73,2,0,0,2,,,21,31.5,31.5,26,,28,
201,Willie Snead,BAL,WR,28,6,5,0,0,0,0,0,0,0,,0,15,11,149,13.55,1,1,0,1,,,21,31.9,34.9,26.4,,82,
202,Benny Snell Jr.,PIT,RB,22,5,0,0,0,0,0,0,42,165,3.93,1,3,2,0,0,0,2,1,1,,,21,22.5,26.5,21.5,,52,
203,Chris Conley,JAX,WR,28,6,1,0,0,0,0,0,0,0,,0,24,14,196,14,0,0,0,0,,,20,33.6,36.6,26.6,,87,
204,Joe Flacco,NYJ,QB,35,3,2,41,79,397,1,1,5,20,4,0,0,0,0,,0,1,0,0,,,20,19.9,23.9,20.9,,36,
205,Dallas Goedert,PHI,TE,25,3,1,0,0,0,0,0,0,0,,0,18,13,138,10.62,1,0,0,1,,,20,32.8,35.8,26.3,,31,
206,Diontae Johnson,PIT,WR,24,4,4,0,0,0,0,0,1,9,9,0,26,15,147,9.8,1,1,1,1,,,20,34.6,38.6,27.1,,86,
207,Greg Olsen,SEA,TE,35,5,4,0,0,0,0,0,0,0,,0,19,15,140,9.33,1,0,0,1,,,20,35,38,27.5,,30,
208,Tony Pollard,DAL,RB,23,6,1,0,0,0,0,0,23,93,4.04,1,14,9,47,5.22,0,0,0,1,,,20,29,29,24.5,,53,
209,Matt Breida,MIA,RB,25,6,0,0,0,0,0,0,33,115,3.48,0,8,7,79,11.29,0,1,0,0,,,19,26.4,29.4,22.9,,54,
