Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
38,Jonnu Smith,TEN,TE,25,5,5,0,0,0,0,0,0,0,,0,29,19,234,12.32,5,0,0,5,,,53,72.4,75.4,62.9,15,3,38
39,Jonathan Taylor,IND,RB,21,6,5,0,0,0,0,0,89,367,4.12,3,17,16,162,10.13,0,0,0,3,,,71,86.9,92.9,78.9,14,15,39
40,George Kittle,SFO,TE,27,4,4,0,0,0,0,0,2,17,8.5,0,38,30,380,12.67,2,0,0,2,,,52,81.7,84.7,66.7,13,4,40
41,Allen Robinson,CHI,WR,27,6,6,0,0,0,0,0,1,-1,-1,0,66,40,474,11.85,2,0,0,2,,,59,99.3,102.3,79.3,13,16,41
42,Mike Davis,CAR,RB,27,6,4,0,0,0,0,0,64,272,4.25,2,36,32,209,6.53,2,1,1,4,,,70,102.1,109.1,86.1,13,16,42
43,James Conner,PIT,RB,25,5,4,0,0,0,0,0,75,369,4.92,4,15,12,83,6.92,0,0,0,4,,,69,81.2,84.2,75.2,12,17,43
44,Tyler Lockett,SEA,WR,28,5,5,0,0,0,0,0,0,0,,0,38,30,342,11.4,4,0,0,4,,,58,88.2,91.2,73.2,12,17,44
45,Lamar Jackson,BAL,QB,23,6,6,102,162,1135,10,2,50,346,6.92,2,0,0,0,,0,3,1,2,,,126,126,135,128,12,7,45
46,Miles Sanders,PHI,RB,23,5,5,0,0,0,0,0,71,434,6.11,3,25,12,91,7.58,0,2,1,3,,,69,80.5,84.5,74.5,11,18,46
47,Robert Tonyan,GNB,TE,26,5,4,0,0,0,0,0,0,0,,0,18,16,198,12.38,5,0,0,5,,,50,65.8,68.8,57.8,11,5,47
48,Darrell Henderson,LAR,RB,23,6,4,0,0,0,0,0,72,348,4.83,3,11,7,96,13.71,1,0,0,4,,,68,75.4,78.4,71.9,11,19,48
49,Darius Slayton,NYG,WR,23,6,5,0,0,0,0,0,1,-3,-3,0,44,25,406,16.24,3,1,1,3,,,56,81.3,85.3,68.8,10,18,49
50,Terry McLaurin,WAS,WR,25,6,6,0,0,0,0,0,1,3,3,0,58,36,487,13.53,1,0,0,1,,,55,91,94,73,9,19,50
51,Keelan Cole,JAX,WR,27,6,1,0,0,0,0,0,1,2,2,0,38,27,362,13.41,3,0,0,3,,,54,81.4,84.4,67.9,8,20,51
52,David Johnson,HOU,RB,29,6,6,0,0,0,0,0,87,350,4.02,3,20,12,119,9.92,0,0,0,3,,,65,76.9,82.9,70.9,8,20,52
53,D.J. Moore,CAR,WR,23,6,6,0,0,0,0,0,0,0,,0,48,27,474,17.56,1,0,0,1,,,53,80.4,83.4,66.9,7,21,53
54,Jimmy Graham,CHI,TE,34,6,6,0,0,0,0,0,0,0,,0,36,22,203,9.23,4,1,0,4,,,44,66.3,69.3,55.3,6,6,54
55,Ryan Fitzpatrick,MIA,QB,38,6,6,138,197,1535,10,7,25,135,5.4,2,1,1,0,0,0,1,0,2,1,2,119,119.9,132.9,126.4,5,8,55
56,Tyler Boyd,CIN,WR,26,6,5,0,0,0,0,0,2,29,14.5,0,48,37,416,11.24,1,1,0,1,,,51,87.5,90.5,69,4,22,56
57,Jamison Crowder,NYJ,WR,27,4,4,0,0,0,0,0,0,0,,0,46,29,383,13.21,2,0,0,2,,,50,79.3,82.3,64.8,4,23,57
58,Tyler Higbee,LAR,TE,27,6,6,0,0,0,0,0,0,0,,0,21,18,222,12.33,3,0,0,3,1,,42,60.2,63.2,51.2,4,7,58
59,David Montgomery,CHI,RB,23,6,6,0,0,0,0,0,82,305,3.72,1,28,20,163,8.15,1,0,0,2,1,,61,80.8,86.8,70.8,4,21,59
60,Cooper Kupp,LAR,WR,27,6,5,0,0,0,0,0,3,17,5.67,0,45,31,374,12.06,2,1,1,2,,,49,80.1,84.1,64.6,3,24,60
61,Brandin Cooks,HOU,WR,27,6,6,0,0,0,0,0,0,0,,0,42,27,367,13.59,2,0,0,2,,,49,75.7,78.7,62.2,2,25,61
